safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:8a60833a93de4285a17d285b021ca217,68,54,"[2,10,5,3,5,3,4,1,7,4,0,4,1,3,2,3,2,2,2,2,1,0,1,0,0,0,0,0,1,0,0]","[1,2,2,2,1,1,0,0,3,3,7,9,6,6,13,10,11,12,4,6,2,4,2,3]","{""Monday"":21,""Tuesday"":11,""Wednesday"":5,""Thursday"":11,""Friday"":6,""Saturday"":9,""Sunday"":5}"
sg:8a68708f09f948919170beb2719cfb3e,14,10,"[0,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1]","[0,0,0,0,0,0,1,2,2,2,3,2,3,5,4,6,4,2,1,2,0,0,0,0]","{""Monday"":2,""Tuesday"":4,""Wednesday"":3,""Thursday"":3,""Friday"":1,""Saturday"":1,""Sunday"":0}"
sg:9444f16fac0b4890947b83a096994ebc,8,8,"[0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,4,0,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":1,""Wednesday"":1,""Thursday"":1,""Friday"":3,""Saturday"":0,""Sunday"":2}"
sg:c65e66aaf7664e47b37450f761631783,195,166,"[15,7,6,7,10,11,18,8,7,12,6,14,7,12,8,4,5,7,6,3,6,3,4,1,1,0,0,1,4,2,0]","[5,5,6,6,6,6,5,5,9,15,18,25,25,22,32,33,36,25,33,19,11,9,8,5]","{""Monday"":24,""Tuesday"":24,""Wednesday"":21,""Thursday"":30,""Friday"":21,""Saturday"":40,""Sunday"":35}"
sg:5ab8cb82f0fb42bf970c9016b7447337,30,21,"[0,2,1,0,0,4,5,0,1,1,1,2,5,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0]","[0,0,0,0,0,0,0,2,2,2,1,6,10,4,1,4,3,2,3,1,0,2,0,0]","{""Monday"":4,""Tuesday"":2,""Wednesday"":3,""Thursday"":3,""Friday"":10,""Saturday"":6,""Sunday"":2}"
sg:1252a16c0fd64c2f99531cf7ea8a226d,430,237,"[18,20,13,23,20,21,26,21,22,14,27,12,19,16,17,8,7,7,11,10,4,10,8,10,9,6,11,5,19,9,7]","[24,17,17,11,9,12,11,17,42,59,61,75,60,55,61,54,58,63,61,59,38,28,25,20]","{""Monday"":67,""Tuesday"":51,""Wednesday"":66,""Thursday"":49,""Friday"":61,""Saturday"":61,""Sunday"":75}"
sg:55ac93121a224e1bb032830ef4f4bada,106,62,"[0,5,3,3,7,4,1,2,4,5,7,3,3,5,4,7,2,4,5,1,2,0,2,8,2,4,0,1,3,6,3]","[2,2,2,2,3,3,5,12,23,22,37,37,26,24,22,15,10,9,3,2,0,0,1,1]","{""Monday"":24,""Tuesday"":21,""Wednesday"":16,""Thursday"":19,""Friday"":8,""Saturday"":9,""Sunday"":9}"
sg:d3d1ab08780f4c62831dc1cb90f93290,103,78,"[3,5,6,5,2,11,5,7,3,7,2,5,7,2,4,4,2,4,4,1,4,0,1,1,0,0,0,2,4,1,1]","[7,6,6,6,6,5,5,5,5,6,11,14,18,16,12,10,15,12,9,7,7,4,4,5]","{""Monday"":14,""Tuesday"":17,""Wednesday"":11,""Thursday"":11,""Friday"":19,""Saturday"":14,""Sunday"":17}"
sg:dd03c9d2518641dabbb00a1451e9e22f,324,146,"[12,16,12,11,12,25,8,8,14,10,12,8,25,8,9,11,4,14,15,9,5,4,11,10,11,8,7,2,11,6,6]","[0,0,0,0,9,26,50,69,65,80,88,77,64,82,75,60,67,39,32,16,2,0,0,1]","{""Monday"":58,""Tuesday"":42,""Wednesday"":48,""Thursday"":43,""Friday"":66,""Saturday"":23,""Sunday"":44}"
sg:e9811d967d324dcd8ffc75bfe95e6a6f,160,45,"[4,4,3,4,2,4,5,4,5,9,7,7,3,8,10,9,5,9,6,3,4,3,7,7,7,5,2,4,5,5,0]","[46,46,48,47,48,50,47,48,49,51,48,51,55,53,55,54,50,44,37,24,28,32,41,48]","{""Monday"":30,""Tuesday"":24,""Wednesday"":27,""Thursday"":20,""Friday"":12,""Saturday"":24,""Sunday"":23}"
sg:2300e2ef7ff34341a8c54d10ad1039cf,57,28,"[0,3,1,0,2,2,2,0,1,2,0,3,7,3,0,4,6,2,2,2,0,2,2,1,1,1,2,1,2,2,1]","[0,0,0,0,0,1,1,7,2,5,6,10,5,8,9,16,4,1,0,1,0,0,0,0]","{""Monday"":12,""Tuesday"":11,""Wednesday"":3,""Thursday"":8,""Friday"":13,""Saturday"":6,""Sunday"":4}"
sg:aafa2f5be57745a58f5fea819f477b78,60,53,"[1,2,2,5,6,4,5,1,1,5,3,1,3,0,1,3,0,2,5,0,0,1,1,0,2,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,3,3,8,6,7,14,7,5,13,5,2,2,3,2,2,2]","{""Monday"":8,""Tuesday"":8,""Wednesday"":12,""Thursday"":13,""Friday"":8,""Saturday"":7,""Sunday"":4}"
sg:2126265086aa4c8695ab2ae9bfd78a0f,63,56,"[8,3,1,0,3,3,6,2,2,7,3,1,5,6,4,4,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0]","[1,0,0,0,0,0,0,0,0,1,5,10,10,15,11,9,15,9,3,7,9,5,3,3]","{""Monday"":9,""Tuesday"":10,""Wednesday"":3,""Thursday"":5,""Friday"":9,""Saturday"":12,""Sunday"":15}"
sg:6e825c6db7b1428c8776da4f2db5bf2c,6,6,"[1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":2,""Thursday"":0,""Friday"":2,""Saturday"":0,""Sunday"":2}"
sg:1ce343d94f5c4234888164fa9d2e9cb8,26,19,"[2,4,2,1,2,0,1,1,1,0,2,1,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,1,6,3,4,4,3,4,4,2,1,4,4,3,1,0,0]","{""Monday"":6,""Tuesday"":4,""Wednesday"":3,""Thursday"":3,""Friday"":2,""Saturday"":5,""Sunday"":3}"
sg:820864c3a7ea4db6bea73e6b44cfecbe,106,97,"[3,6,4,2,3,7,23,11,1,8,1,1,9,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,12,19,26,17,21,18,25,38,41,17,10,2]","{""Monday"":7,""Tuesday"":12,""Wednesday"":3,""Thursday"":4,""Friday"":16,""Saturday"":44,""Sunday"":20}"
