safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:af7b087096b642df9415f23485b1238b,310,177,"[13,14,15,5,5,14,9,7,16,7,7,10,17,6,15,9,13,10,15,12,9,17,13,6,4,7,14,8,10]","[8,5,9,8,6,4,5,31,32,50,56,67,85,68,67,85,63,33,29,27,24,17,19,6]","{""Monday"":41,""Tuesday"":26,""Wednesday"":37,""Thursday"":57,""Friday"":35,""Saturday"":62,""Sunday"":52}"
sg:ffa6ef77d9de4b639afe8e3419aa9fdd,510,354,"[18,8,12,8,19,16,29,16,14,15,16,20,13,29,16,13,7,13,23,12,46,47,8,11,11,18,21,18,9]","[1,2,1,1,5,5,3,9,22,54,76,141,194,122,81,62,46,68,49,45,36,27,9,4]","{""Monday"":45,""Tuesday"":48,""Wednesday"":80,""Thursday"":62,""Friday"":126,""Saturday"":106,""Sunday"":43}"
sg:fb83668b97bc431f802f1ccca35ec00f,82,49,"[3,4,2,3,1,2,2,5,1,3,3,3,1,5,3,3,1,1,0,1,0,23,1,0,5,0,0,0,4]","[18,15,16,13,13,12,11,13,14,14,18,18,25,27,33,35,28,15,10,6,11,9,15,16]","{""Monday"":6,""Tuesday"":12,""Wednesday"":4,""Thursday"":4,""Friday"":9,""Saturday"":38,""Sunday"":9}"
sg:6f808da30d9b438ca8ef1e4224b5e158,50,17,"[1,0,3,2,0,2,3,0,0,1,2,3,3,1,0,0,3,3,2,2,4,0,0,6,1,3,4,1,0]","[0,1,1,3,6,8,20,22,24,24,23,25,25,22,19,15,0,0,1,1,2,1,0,0]","{""Monday"":13,""Tuesday"":8,""Wednesday"":8,""Thursday"":11,""Friday"":9,""Saturday"":1,""Sunday"":0}"
sg:8a4a7bb227b444f5ad816a2df5a355a4,25,16,"[1,4,2,1,0,1,0,0,0,0,1,1,3,0,0,0,2,0,0,2,1,0,0,1,2,0,2,0,1]","[0,0,1,0,0,1,3,4,1,3,1,1,1,4,4,5,2,2,2,4,3,3,0,1]","{""Monday"":5,""Tuesday"":4,""Wednesday"":1,""Thursday"":8,""Friday"":1,""Saturday"":2,""Sunday"":4}"
sg:89f900e172dc4fb099071197cb86d7ba,108,81,"[5,1,2,2,4,9,1,1,0,2,2,3,12,6,7,2,0,4,4,4,0,4,1,2,3,6,4,1,16]","[1,1,2,3,2,3,4,5,5,9,10,11,21,31,25,21,8,4,8,15,13,10,3,1]","{""Monday"":6,""Tuesday"":11,""Wednesday"":17,""Thursday"":29,""Friday"":8,""Saturday"":33,""Sunday"":4}"
sg:dc2fceb1f74e402c957e604b676fbe2d,188,147,"[8,0,9,2,4,7,8,10,0,4,5,5,2,13,21,1,3,5,9,8,9,5,1,6,9,4,8,10,12]","[3,1,1,1,1,2,2,6,12,27,31,50,46,39,21,17,14,9,7,5,4,4,3,3]","{""Monday"":22,""Tuesday"":21,""Wednesday"":22,""Thursday"":25,""Friday"":40,""Saturday"":56,""Sunday"":2}"
sg:754bdf265d144d33a0273ae0ab3b674e,113,58,"[1,0,9,3,6,3,9,2,0,3,2,6,6,10,2,2,5,3,3,4,3,3,1,4,4,7,6,2,4]","[4,4,4,5,5,6,7,11,16,23,32,27,23,23,17,22,16,9,3,1,2,4,3,3]","{""Monday"":21,""Tuesday"":12,""Wednesday"":22,""Thursday"":19,""Friday"":24,""Saturday"":12,""Sunday"":3}"
sg:ffbcfa06390d436396eeea3c1c1c6b9c,33,26,"[1,2,1,0,0,2,1,0,0,0,3,1,1,1,1,0,1,1,1,2,0,2,0,1,2,3,2,3,1]","[0,0,0,0,0,0,2,2,2,5,7,8,13,10,9,2,3,1,0,1,0,0,0,0]","{""Monday"":3,""Tuesday"":6,""Wednesday"":5,""Thursday"":7,""Friday"":5,""Saturday"":5,""Sunday"":2}"
sg:55f94050e06e414bbc69e109f95bd0a0,1421,340,"[69,59,88,64,69,60,64,45,46,80,68,65,65,77,49,53,57,59,65,60,31,17,12,19,7,16,10,12,7]","[129,118,114,116,121,122,124,169,220,240,210,198,208,213,197,168,193,197,184,179,198,182,152,145]","{""Monday"":244,""Tuesday"":198,""Wednesday"":215,""Thursday"":195,""Friday"":212,""Saturday"":187,""Sunday"":170}"
sg:5658a4866d644607ab44db411aae3b48,87,65,"[1,1,2,1,1,7,3,5,0,2,2,2,4,11,6,1,1,4,2,1,6,3,1,1,4,0,6,5,3]","[5,5,7,6,4,2,3,2,4,6,15,15,10,11,10,10,15,8,0,4,6,9,7,6]","{""Monday"":6,""Tuesday"":11,""Wednesday"":5,""Thursday"":18,""Friday"":26,""Saturday"":18,""Sunday"":3}"
sg:940a6926fc014273a4e2d37801d28cec,190,118,"[12,4,8,7,9,10,8,4,1,12,4,3,10,7,4,1,6,7,9,6,7,3,2,6,11,8,9,5,6]","[2,2,3,3,8,29,33,27,30,28,34,39,35,34,32,40,27,27,20,11,2,2,3,3]","{""Monday"":32,""Tuesday"":29,""Wednesday"":29,""Thursday"":35,""Friday"":28,""Saturday"":29,""Sunday"":8}"
sg:056e92e6edbc4b6bb14df41e9991352f,89,45,"[2,0,1,1,1,3,1,1,1,4,2,3,6,6,3,1,5,1,2,6,5,5,1,2,4,4,10,7,1]","[4,4,4,4,4,4,4,4,13,17,22,36,34,33,29,33,24,14,8,4,4,4,5,5]","{""Monday"":12,""Tuesday"":8,""Wednesday"":10,""Thursday"":25,""Friday"":19,""Saturday"":12,""Sunday"":3}"
sg:f08aa960f19c40c197f406de4bdc65be,31,19,"[3,0,1,0,2,5,1,1,1,0,0,2,3,1,1,0,0,1,0,1,0,1,1,0,1,1,3,0,0]","[7,7,7,7,5,6,7,4,6,5,4,4,6,7,3,2,0,2,2,4,4,4,7,7]","{""Monday"":1,""Tuesday"":2,""Wednesday"":5,""Thursday"":12,""Friday"":3,""Saturday"":6,""Sunday"":2}"
sg:41eac9527a5e4be49d5d5f20d8f7c1ac,91,66,"[1,1,1,3,3,4,2,7,1,0,2,1,3,3,1,6,4,0,1,1,0,5,5,3,2,3,7,4,17]","[0,0,0,1,1,1,1,2,10,13,20,27,30,28,21,27,23,19,19,7,6,4,0,0]","{""Monday"":8,""Tuesday"":7,""Wednesday"":8,""Thursday"":15,""Friday"":9,""Saturday"":31,""Sunday"":13}"
sg:5d02b42acf444c828f33167f0d85b127,104,99,"[6,1,0,2,3,6,3,5,1,0,0,1,2,10,7,5,4,1,0,1,7,8,5,4,8,3,3,0,5]","[2,3,1,3,4,5,3,3,5,8,12,10,20,21,17,11,9,14,10,11,12,5,2,1]","{""Monday"":8,""Tuesday"":11,""Wednesday"":7,""Thursday"":12,""Friday"":23,""Saturday"":31,""Sunday"":12}"
sg:6f6d18d68ab3434b9378ddfb6043995c,27,26,"[4,0,0,0,3,0,2,0,0,0,1,0,1,1,2,0,2,0,0,0,3,3,0,1,0,0,0,1,3]","[0,0,0,0,0,0,0,0,1,1,2,1,8,6,5,5,5,1,0,0,0,0,0,0]","{""Monday"":3,""Tuesday"":1,""Wednesday"":3,""Thursday"":1,""Friday"":7,""Saturday"":12,""Sunday"":0}"
sg:ebcaba9541a144f29be54e7e6369acd3,656,330,"[8,8,13,19,11,12,13,6,9,14,26,18,18,22,14,28,30,16,34,22,25,24,24,39,55,53,47,24,18]","[119,112,100,100,100,98,107,112,120,133,119,78,77,71,65,63,56,44,23,101,146,159,141,130]","{""Monday"":96,""Tuesday"":116,""Wednesday"":116,""Thursday"":99,""Friday"":90,""Saturday"":70,""Sunday"":69}"
sg:073791b5b7944f5f968299edb6c0fed0,138,43,"[3,1,3,1,7,4,1,5,3,2,6,5,5,6,4,3,8,7,8,6,5,3,3,7,3,10,8,4,6]","[10,12,14,23,15,19,24,31,32,39,42,30,24,28,25,25,20,12,6,3,5,9,8,8]","{""Monday"":20,""Tuesday"":17,""Wednesday"":30,""Thursday"":23,""Friday"":17,""Saturday"":21,""Sunday"":10}"
sg:1413a92976da4a52bd022812b416f980,65,19,"[5,1,1,1,1,4,2,2,4,5,5,2,1,3,2,2,1,3,0,3,4,1,0,2,2,3,1,2,0]","[19,21,21,21,20,20,21,20,21,23,22,18,17,16,19,29,29,27,27,20,19,20,23,20]","{""Monday"":9,""Tuesday"":11,""Wednesday"":6,""Thursday"":9,""Friday"":13,""Saturday"":10,""Sunday"":7}"
sg:c2319681ecc045f6ac39510cca6185f4,142,108,"[2,4,4,1,3,3,8,18,2,3,3,3,4,6,4,15,9,5,1,4,7,10,6,4,2,3,2,3,2]","[1,0,0,0,0,0,0,1,2,14,16,26,31,36,31,29,32,33,26,16,14,16,10,3]","{""Monday"":20,""Tuesday"":11,""Wednesday"":10,""Thursday"":13,""Friday"":25,""Saturday"":36,""Sunday"":27}"
sg:3a09c72b5f78418ca6bcc8169b675382,77,54,"[0,2,2,1,0,2,0,0,0,0,5,5,3,1,12,1,2,1,1,1,3,20,2,6,5,2,0,0,0]","[21,17,1,1,1,2,2,3,5,9,4,4,6,6,7,11,11,9,9,16,26,24,24,24]","{""Monday"":10,""Tuesday"":12,""Wednesday"":8,""Thursday"":6,""Friday"":4,""Saturday"":32,""Sunday"":5}"
sg:be2812ff05ec4f2a853e0376e08b55c2,66,35,"[1,1,2,1,3,1,2,1,1,4,4,5,4,0,2,0,4,2,0,3,5,2,1,1,4,5,5,0,2]","[7,7,7,8,7,7,10,18,27,34,37,32,14,11,9,7,7,11,10,6,6,7,7,7]","{""Monday"":11,""Tuesday"":11,""Wednesday"":13,""Thursday"":13,""Friday"":7,""Saturday"":8,""Sunday"":3}"
sg:36a3e4dae2db4222a9576edcf5ec08a6,222,73,"[7,0,7,13,11,6,10,15,0,10,13,10,11,7,8,0,8,14,10,9,6,3,0,2,13,10,5,5,6]","[0,0,0,1,1,0,0,4,14,22,37,38,42,40,40,41,22,11,43,70,66,53,26,6]","{""Monday"":27,""Tuesday"":53,""Wednesday"":41,""Thursday"":31,""Friday"":31,""Saturday"":39,""Sunday"":0}"
sg:44494551a3fe48c8b100060f9e0e84bb,380,326,"[23,12,5,7,5,7,19,24,22,9,11,8,17,13,13,14,17,8,11,12,12,25,30,5,5,11,8,11,13]","[1,1,1,1,1,1,1,2,1,12,24,39,46,55,67,76,72,67,63,63,40,20,4,1]","{""Monday"":36,""Tuesday"":31,""Wednesday"":35,""Thursday"":44,""Friday"":58,""Saturday"":98,""Sunday"":78}"
sg:22ff7fbefbea4d229ea2b5f02cc5c588,139,83,"[0,2,9,6,7,8,7,1,1,11,6,10,8,8,0,0,4,4,3,7,4,0,3,7,4,6,9,4,0]","[1,0,0,0,2,2,2,15,27,28,28,19,8,15,13,24,28,20,7,6,5,1,0,0]","{""Monday"":31,""Tuesday"":20,""Wednesday"":26,""Thursday"":32,""Friday"":23,""Saturday"":1,""Sunday"":6}"
sg:5ea654cfe95141f2bb5f18a801ddb076,45,21,"[1,1,2,3,1,0,1,1,1,2,1,1,1,3,1,0,5,1,2,2,0,2,2,3,3,0,1,2,2]","[2,2,2,1,1,1,1,3,2,22,22,22,30,26,24,25,24,18,1,3,1,2,2,2]","{""Monday"":12,""Tuesday"":8,""Wednesday"":4,""Thursday"":4,""Friday"":6,""Saturday"":7,""Sunday"":4}"
