safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:2bc1a30a2e314a7d9e3a2fe83061529d,310,140,"[1,12,9,19,8,23,4,1,10,12,18,18,16,5,1,19,13,16,11,13,4,2,13,8,5,6,15,8,2,16,2]","[2,1,2,2,7,12,8,6,21,44,52,59,41,54,62,57,54,54,36,15,4,2,1,3]","{""Monday"":69,""Tuesday"":44,""Wednesday"":58,""Thursday"":43,""Friday"":67,""Saturday"":22,""Sunday"":7}"
sg:535284fd236148e39fbf25f712f29224,70,14,"[0,1,0,2,1,3,1,0,2,4,2,4,0,2,2,2,1,2,2,2,0,1,3,5,2,4,6,4,2,7,3]","[15,14,14,14,15,17,17,14,15,18,15,15,18,20,22,22,17,13,12,15,16,15,14,16]","{""Monday"":15,""Tuesday"":13,""Wednesday"":8,""Thursday"":11,""Friday"":11,""Saturday"":7,""Sunday"":5}"
sg:653ad308427446efb71a692ddd37dd0a,37,22,"[0,1,1,2,2,1,1,0,1,0,3,1,0,1,0,1,2,0,3,3,0,2,3,1,3,0,1,1,1,1,1]","[10,9,10,10,10,10,10,8,2,3,4,4,7,9,9,8,8,5,6,2,2,1,1,7]","{""Monday"":7,""Tuesday"":5,""Wednesday"":8,""Thursday"":6,""Friday"":5,""Saturday"":3,""Sunday"":3}"
sg:ee0e0c5b11784563bf170d286dfa1866,88,22,"[3,7,2,4,4,1,5,4,2,5,2,3,1,5,1,2,5,4,6,2,6,0,1,2,0,2,3,3,0,2,1]","[11,12,12,16,15,19,19,18,26,30,23,20,20,20,18,9,11,12,9,11,13,13,12,11]","{""Monday"":14,""Tuesday"":15,""Wednesday"":10,""Thursday"":15,""Friday"":7,""Saturday"":19,""Sunday"":8}"
sg:936a3d7a3d884609aa0731573cb392d3,1121,958,"[15,23,13,15,20,27,48,33,21,27,26,31,44,86,55,32,33,26,37,48,63,64,69,42,0,41,32,52,33,38,27]","[4,3,2,2,2,4,18,23,25,64,122,153,194,198,220,235,170,149,117,70,50,38,3,3]","{""Monday"":179,""Tuesday"":142,""Wednesday"":67,""Thursday"":129,""Friday"":151,""Saturday"":253,""Sunday"":200}"
sg:346bcc3efd6d4b10aad3b7793e7b1dbd,96,31,"[1,3,0,2,5,5,7,3,5,2,4,2,10,2,2,2,1,2,2,1,2,11,1,3,2,0,5,5,1,4,1]","[18,15,10,10,9,9,8,7,15,15,17,24,25,18,20,22,17,22,12,17,13,20,20,20]","{""Monday"":14,""Tuesday"":7,""Wednesday"":10,""Thursday"":9,""Friday"":21,""Saturday"":17,""Sunday"":18}"
sg:cbf6d761944143a087e0bdad4d860dc4,10,6,"[1,1,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,4,5,8,4,4,4,2,3,1,0,0,0,0,1,0,0]","{""Monday"":6,""Tuesday"":1,""Wednesday"":0,""Thursday"":2,""Friday"":0,""Saturday"":0,""Sunday"":1}"
sg:1db08584adfb4a3191e47007610cab64,308,242,"[4,7,10,5,4,13,9,6,4,5,7,6,11,10,6,10,9,13,14,20,15,8,17,18,5,17,10,8,10,9,18]","[2,1,1,1,1,1,2,5,6,21,34,40,64,62,58,44,37,41,27,10,13,6,1,2]","{""Monday"":47,""Tuesday"":60,""Wednesday"":30,""Thursday"":41,""Friday"":54,""Saturday"":42,""Sunday"":34}"
sg:486520116a2c417795ccd111449d0fb3,301,265,"[5,6,5,3,5,43,7,1,6,7,2,4,11,14,5,8,1,5,9,11,11,6,14,8,0,18,21,23,18,11,13]","[0,0,0,0,0,0,3,9,13,30,45,51,54,55,62,51,45,41,30,22,12,5,2,0]","{""Monday"":45,""Tuesday"":34,""Wednesday"":10,""Thursday"":36,""Friday"":86,""Saturday"":55,""Sunday"":35}"
sg:724c711ec9ee49469208ec1a16bdee65,19,8,"[0,1,0,3,2,0,1,0,0,1,1,1,1,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,1,0]","[0,0,0,0,0,0,0,2,6,8,12,11,9,8,7,2,2,2,3,0,1,0,0,0]","{""Monday"":3,""Tuesday"":1,""Wednesday"":5,""Thursday"":6,""Friday"":2,""Saturday"":2,""Sunday"":0}"
sg:6a04db6c781445a2b0194b1a6a6442de,12,9,"[0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0]","[0,0,0,0,0,0,0,0,0,2,2,1,2,5,4,3,2,4,1,0,0,0,0,0]","{""Monday"":2,""Tuesday"":2,""Wednesday"":2,""Thursday"":1,""Friday"":4,""Saturday"":0,""Sunday"":1}"
sg:d781ad3e10f3403ca2099649757ef8a0,45,31,"[1,1,0,1,1,4,0,1,2,1,2,2,2,2,3,0,1,2,2,1,3,2,1,1,0,2,0,1,3,3,0]","[0,0,1,1,1,1,0,1,6,11,8,11,17,13,13,11,11,9,7,3,2,1,1,1]","{""Monday"":6,""Tuesday"":3,""Wednesday"":5,""Thursday"":7,""Friday"":7,""Saturday"":7,""Sunday"":10}"
sg:adc0e930b4df476086af2db185fb4c24,11,11,"[0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,1,3,2,1,0,0,0,0,0]","{""Monday"":2,""Tuesday"":0,""Wednesday"":0,""Thursday"":0,""Friday"":1,""Saturday"":6,""Sunday"":2}"
sg:6908bf9838c44216a78fc376eb8a99d6,48,34,"[0,1,4,1,2,0,1,2,1,4,1,1,1,0,1,3,2,2,6,2,3,0,1,0,0,0,0,3,1,2,3]","[2,1,0,0,0,0,0,5,11,12,11,4,6,1,6,7,3,2,2,1,2,2,1,2]","{""Monday"":7,""Tuesday"":13,""Wednesday"":4,""Thursday"":9,""Friday"":3,""Saturday"":8,""Sunday"":4}"
sg:ae95c00d1dc143adbafc6b96af8ab080,125,68,"[1,3,9,11,5,4,1,0,1,6,6,7,5,3,4,7,3,7,4,10,2,6,3,0,0,4,2,1,0,3,7]","[5,4,1,1,1,2,3,10,20,27,24,23,33,25,25,16,10,10,14,14,8,3,4,3]","{""Monday"":17,""Tuesday"":25,""Wednesday"":24,""Thursday"":20,""Friday"":21,""Saturday"":7,""Sunday"":11}"
sg:91cada09b34944cebf72cd9672a99d16,229,77,"[1,11,6,12,11,11,1,4,20,24,15,14,17,2,1,7,8,14,13,13,0,0,10,0,0,0,8,1,0,4,1]","[0,0,0,1,2,10,28,52,60,65,59,59,47,57,53,44,30,11,8,12,11,6,1,0]","{""Monday"":52,""Tuesday"":39,""Wednesday"":41,""Thursday"":38,""Friday"":49,""Saturday"":4,""Sunday"":6}"
sg:b7bdff0ec12a41aaaab83e432eb2f970,106,84,"[2,2,4,3,2,2,3,3,1,3,0,6,2,6,4,3,6,2,5,5,6,2,10,2,0,4,2,7,1,6,2]","[1,0,0,0,0,0,0,1,1,10,9,8,12,18,19,20,19,13,8,8,5,2,1,1]","{""Monday"":22,""Tuesday"":17,""Wednesday"":5,""Thursday"":17,""Friday"":11,""Saturday"":22,""Sunday"":12}"
