safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:940a6926fc014273a4e2d37801d28cec,257,147,"[1,14,3,10,5,10,15,7,9,10,9,3,8,10,7,10,11,10,2,11,6,12,4,12,9,6,11,5,8,7,12]","[23,23,22,22,25,38,48,41,40,42,44,48,48,53,55,59,51,35,33,21,15,18,20,20]","{""Monday"":40,""Tuesday"":36,""Wednesday"":35,""Thursday"":44,""Friday"":48,""Saturday"":38,""Sunday"":16}"
sg:fb83668b97bc431f802f1ccca35ec00f,117,46,"[3,10,4,3,3,1,1,4,1,7,4,5,5,7,5,3,7,3,4,1,2,3,1,0,2,6,6,1,5,6,4]","[26,22,23,22,22,24,21,15,18,20,27,27,33,31,25,29,29,33,34,31,28,25,24,25]","{""Monday"":13,""Tuesday"":13,""Wednesday"":20,""Thursday"":21,""Friday"":20,""Saturday"":12,""Sunday"":18}"
sg:4e0c8fa767844febb58d8eb6b8477b71,176,83,"[0,6,5,1,2,10,9,5,10,9,1,0,6,9,5,6,8,0,2,8,7,6,11,15,2,0,6,10,3,9,5]","[3,4,2,8,9,7,20,30,30,30,39,39,38,29,24,22,23,17,19,16,14,13,16,17]","{""Monday"":30,""Tuesday"":35,""Wednesday"":19,""Thursday"":42,""Friday"":42,""Saturday"":4,""Sunday"":4}"
sg:b6931abee4974ca286fea2a87b15dfec,34,27,"[0,3,1,0,0,1,1,2,1,3,0,0,0,4,0,5,1,0,0,2,0,2,1,4,0,0,0,1,0,1,1]","[4,4,3,3,3,3,4,4,3,3,7,5,6,5,3,2,2,4,5,4,3,5,6,7]","{""Monday"":3,""Tuesday"":7,""Wednesday"":4,""Thursday"":11,""Friday"":9,""Saturday"":0,""Sunday"":0}"
sg:018e3b84b9f64e42b15903cfca8ddd49,159,118,"[2,7,7,7,4,3,4,7,4,8,8,8,2,3,7,5,3,3,5,8,5,4,3,4,6,9,5,3,5,3,7]","[3,4,2,2,2,2,1,0,7,16,23,31,40,45,49,59,55,29,21,2,1,1,2,3]","{""Monday"":18,""Tuesday"":15,""Wednesday"":25,""Thursday"":22,""Friday"":29,""Saturday"":24,""Sunday"":26}"
sg:ea18204e313747afac0021efa5b22ba3,32,18,"[1,1,1,1,0,1,1,2,0,1,2,2,1,0,2,1,2,1,1,1,0,1,0,2,4,1,1,0,0,0,1]","[5,4,4,4,4,5,5,5,4,8,3,6,4,2,5,8,8,4,4,6,6,10,8,7]","{""Monday"":4,""Tuesday"":2,""Wednesday"":6,""Thursday"":2,""Friday"":6,""Saturday"":8,""Sunday"":4}"
sg:3a09c72b5f78418ca6bcc8169b675382,73,48,"[3,1,0,1,1,3,3,2,2,5,0,2,1,2,3,1,15,2,2,5,1,2,1,1,0,3,1,1,0,1,8]","[23,16,13,11,8,7,7,4,5,4,6,5,4,4,2,3,4,10,7,16,21,24,24,27]","{""Monday"":10,""Tuesday"":14,""Wednesday"":10,""Thursday"":6,""Friday"":22,""Saturday"":3,""Sunday"":8}"
sg:076d2559c12c485dae8d5b27f4d2cdb4,349,232,"[5,38,29,22,4,12,8,10,24,18,15,7,8,8,13,14,13,10,5,9,7,6,5,7,9,3,6,12,3,8,11]","[21,20,20,20,20,21,20,18,29,57,72,89,89,100,85,74,70,59,36,42,42,26,21,21]","{""Monday"":35,""Tuesday"":38,""Wednesday"":37,""Thursday"":89,""Friday"":75,""Saturday"":56,""Sunday"":19}"
sg:13d266a4c8e4464489c083b75daed6e4,46,23,"[0,0,0,0,0,1,3,0,1,2,1,1,0,0,1,1,0,1,0,0,1,3,3,8,7,8,0,0,1,1,2]","[0,0,0,0,0,1,1,3,7,9,9,10,8,8,7,5,4,1,0,0,0,0,0,0]","{""Monday"":1,""Tuesday"":4,""Wednesday"":5,""Thursday"":6,""Friday"":12,""Saturday"":9,""Sunday"":9}"
sg:726452fa181e481aadd175f81f6c3315,506,414,"[16,20,26,25,18,19,14,11,11,15,6,28,16,11,13,19,22,16,19,24,10,8,24,19,23,18,11,6,12,10,16]","[4,4,3,2,0,1,1,0,2,11,23,45,64,77,81,88,85,91,79,69,54,31,6,4]","{""Monday"":70,""Tuesday"":41,""Wednesday"":60,""Thursday"":84,""Friday"":98,""Saturday"":70,""Sunday"":83}"
sg:7ab7c27a145042a2a2c705bdc6af95cb,616,475,"[2,8,17,10,8,20,22,23,48,37,26,13,7,20,20,44,28,15,19,16,13,14,20,21,29,24,14,10,18,21,29]","[220,157,41,3,2,8,13,20,17,28,42,53,49,50,36,28,37,54,43,73,94,101,113,173]","{""Monday"":57,""Tuesday"":79,""Wednesday"":77,""Thursday"":141,""Friday"":118,""Saturday"":80,""Sunday"":64}"
sg:94104156f370424e8a32d9d86ac7fa17,111,45,"[0,3,7,6,4,6,5,2,5,5,1,2,5,6,3,2,1,1,3,6,5,7,3,6,0,2,1,4,3,1,6]","[13,13,12,13,12,12,12,9,7,9,11,17,30,28,29,29,29,27,26,16,17,14,18,14]","{""Monday"":18,""Tuesday"":21,""Wednesday"":15,""Thursday"":14,""Friday"":24,""Saturday"":8,""Sunday"":11}"
sg:9f358c8e9f40488db5639062892178c7,71,37,"[0,1,4,4,0,2,3,4,2,2,2,2,4,2,2,5,1,2,5,3,2,2,2,2,0,3,1,1,1,2,5]","[2,2,2,2,3,5,5,5,8,27,28,31,33,37,34,18,9,6,7,4,5,4,4,4]","{""Monday"":10,""Tuesday"":9,""Wednesday"":9,""Thursday"":12,""Friday"":13,""Saturday"":8,""Sunday"":10}"
sg:e56b141c591f484aa46b20a8d731cb26,92,66,"[1,4,4,2,1,3,6,5,4,4,2,3,2,5,6,6,2,3,0,3,0,6,2,4,1,1,3,2,1,3,3]","[3,4,3,3,2,3,7,5,11,9,10,16,15,15,10,4,12,8,4,6,5,3,3,2]","{""Monday"":11,""Tuesday"":14,""Wednesday"":19,""Thursday"":19,""Friday"":16,""Saturday"":8,""Sunday"":5}"
sg:1269ed8ad289466d8b2b510ff1f07d34,170,128,"[4,3,5,7,12,7,3,3,5,5,4,2,7,4,1,2,6,10,3,4,3,6,6,8,10,5,11,6,9,5,4]","[3,3,2,1,1,2,2,4,18,19,25,18,21,24,26,39,37,28,18,9,12,3,3,6]","{""Monday"":29,""Tuesday"":16,""Wednesday"":23,""Thursday"":21,""Friday"":28,""Saturday"":31,""Sunday"":22}"
sg:d18f10091811404ca9e1a3b128882fea,37,17,"[0,0,1,0,0,2,2,1,3,1,0,1,5,3,2,4,0,0,1,2,3,1,2,0,1,0,1,0,1,0,0]","[0,0,0,0,0,0,1,4,9,16,17,15,14,17,12,11,12,6,1,1,1,1,0,0]","{""Monday"":10,""Tuesday"":8,""Wednesday"":5,""Thursday"":9,""Friday"":2,""Saturday"":1,""Sunday"":2}"
sg:0c41a34ea8ef46688669302edf76684a,191,85,"[2,4,5,6,8,2,7,13,11,8,4,4,2,5,10,11,10,4,7,2,6,4,4,10,4,6,5,5,4,9,9]","[3,12,14,23,25,34,36,40,43,53,56,58,43,39,29,32,21,15,9,6,7,2,2,2]","{""Monday"":11,""Tuesday"":23,""Wednesday"":33,""Thursday"":39,""Friday"":42,""Saturday"":18,""Sunday"":25}"
sg:5d02b42acf444c828f33167f0d85b127,72,53,"[0,2,5,1,1,2,2,1,2,3,5,0,1,2,2,4,1,2,0,4,1,3,3,4,3,2,4,4,6,0,2]","[1,2,1,1,1,1,1,2,5,8,10,12,14,14,14,18,9,6,5,4,3,1,2,1]","{""Monday"":11,""Tuesday"":9,""Wednesday"":12,""Thursday"":11,""Friday"":15,""Saturday"":11,""Sunday"":3}"
sg:6f6d18d68ab3434b9378ddfb6043995c,37,21,"[0,1,2,0,0,1,0,1,4,1,1,0,2,1,2,2,0,1,0,2,1,2,2,2,2,0,1,2,0,2,2]","[0,0,0,0,0,0,0,0,1,4,5,2,12,16,17,14,15,15,7,0,0,0,0,0]","{""Monday"":6,""Tuesday"":4,""Wednesday"":5,""Thursday"":11,""Friday"":7,""Saturday"":4,""Sunday"":0}"
sg:073791b5b7944f5f968299edb6c0fed0,63,32,"[3,4,2,2,1,3,2,6,3,1,0,0,0,1,2,2,2,1,2,4,4,2,3,0,2,5,3,0,1,2,0]","[4,4,2,2,2,4,1,2,6,6,6,10,14,19,17,18,11,6,3,9,4,3,2,3]","{""Monday"":10,""Tuesday"":7,""Wednesday"":14,""Thursday"":14,""Friday"":5,""Saturday"":5,""Sunday"":8}"
sg:1413a92976da4a52bd022812b416f980,146,31,"[3,4,5,4,3,2,2,2,7,7,2,4,6,2,6,6,10,9,2,6,3,5,6,8,4,4,5,4,4,5,6]","[39,37,40,40,42,44,44,46,45,44,44,42,47,46,48,59,56,50,47,29,41,42,43,44]","{""Monday"":19,""Tuesday"":12,""Wednesday"":20,""Thursday"":28,""Friday"":35,""Saturday"":19,""Sunday"":13}"
